timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1722337944524,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-1,text,false,,1176,0,2,2,https://www.amazon.com/\,0,0,0
1722337944523,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-2,text,false,,1176,0,2,2,https://www.amazon.com/\,0,0,0
1722337944598,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-3,text,false,,1176,0,3,3,https://www.amazon.com/\,0,0,0
1722337944697,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-4,text,false,,1176,0,4,4,https://www.amazon.com/\,0,0,0
1722337944795,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-5,text,false,,1176,0,5,5,https://www.amazon.com/\,0,0,0
1722337944896,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-6,text,false,,1176,0,6,6,https://www.amazon.com/\,0,0,0
1722337944996,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-7,text,false,,1176,0,7,7,https://www.amazon.com/\,0,0,0
1722337945095,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-8,text,false,,1176,0,8,8,https://www.amazon.com/\,0,0,0
1722337945195,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-9,text,false,,1176,0,9,9,https://www.amazon.com/\,0,0,0
1722337945297,0,Home page,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 23: https://www.amazon.com/\,user 1-10,text,false,,1176,0,10,10,https://www.amazon.com/\,0,0,0
1722337944535,801,Login page,503,Service Unavailable,user 1-1,text,false,,3122,490,10,10,https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,794,0,533
1722337944535,801,Login page,503,Service Unavailable,user 1-2,text,false,,3121,490,10,10,https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,794,0,536
1722337944998,338,Login page,503,Service Unavailable,user 1-7,text,false,,3122,490,10,10,https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,331,0,70
1722337944797,542,Login page,503,Service Unavailable,user 1-5,text,false,,3124,490,10,10,https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,541,0,282
1722337944599,752,Login page,200,OK,user 1-3,text,true,,36637,490,10,10,https://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2F%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0,749,0,469
